,few_shots_short_pos_lst_feel,few_shots_short_pos_lst_feel_reflection,few_shots_short_pos_lst_feel_score,few_shots_short_neg_lst_feel,few_shots_short_neg_lst_feel_reflection,few_shots_short_neg_lst_feel_score,few_shots_couple_pos_feeling_lst,few_shots_couple_pos_feeling_lst_reflection,few_shots_couple_pos_feeling_lst_score,few_shots_couple_neg_feeling lst,few_shots_couple_neg_feeling lst_reflection,few_shots_couple_neg_feeling lst_score,few_shots_blend_feeling_lst,few_shots_blend_feeling_lst_reflection,few_shots_blend_feeling_lst_score,few_shots_emotions_and_their_reasons,few_shots_emotions_and_their_reasons_reflection,few_shots_emotions_and_their_reasons_score,few_shots_reason_and_accompanying_emotion,few_shots_reason_and_accompanying_emotion_reflection,few_shots_reason_and_accompanying_emotion_score
0,I feel good,"At this moment, it seems like you are feeling okay.",,I'm not happy,It seems like you're not currently enjoying your life.,,I'm feeling excited and stressed,It seems like you're feeling a mix of emotions because you have something that you're looking forward to but you're also worried about it.,,I'm feeling unwelcome and not lovable,t seems like you feel that you're not accepted and don't have value to someone you care about.,,I'm hurt and not calm,ppears that you are emotional because something negative happened and it affected you,,I am sad because my dog was lost yesterday,t seems like you're feeling upset because your pet is missing,,"My girlfriend broke up with me, I'm hurt",'m sorry to hear that you are feeling a lot of pain right now.,
1,I'm anxious,"rom your post, it looks like you feel worried or tense about something.",,I'm not tired,You're telling me that you don't feel like you need to take a break right now.,,I'm exhausted but happy,You feel tired but content because you completed a challenging project.,,I not restless but not calm,You might be feeling anxious and uneasy because you don't feel comfortable in your current state.,,I'm angry and unsatisfied,t seems that you are experiencing a lot of negative emotions and you want them to go away,,I am very excited about the party on Friday,t sounds like you're looking forward to have a good time with your friends,,I don't find a job for more that 6 month I'm frustrated, understand that you feel discouraged after a long period of job seeking with no success,
2,hungry,It seems like you need food to feel better.,,feel not satisfied,It seems that you're not content with something in your life.,,I'm surprised and happy,It seems that you are happy about something that you didn't expect.,,I feel impatient and not pleased,"t seems like you're not content with how things are going, and you want more immediacy.",,Not relaxed and excited,ppears that you are feeling some type of way before an important event.,,I’m hurt because my friends didn’t invite me to the party,"
It seems that you're feeling left out and rejected by your friends.",,My daughter got married. I'm so proud,It seems that you are very happy about your daughter getting married and feel proud of her.,
3,I'm angry,It looks like you're feeling upset and frustrated right now.,,I'm not trained,"
It appears that you feel like you're not good at something.",,I feel fear but motivated,"It seems like you're feeling two opposites emotions at the same time, which is confusing. On one hand, you're motivated to achieve something, but on the other hand you're afraid of failing. This may be because you're worried about what other people will think of you if you don't succeed.",,I'm not happy and do not feel blissful,It seems like you are not content with your current state.,,Indifferent and unhappy,t seems like you feel numb and unhappy inside.,,I was so happy when I got the job because it means I can support my family,'m glad you're happy with the new development that will help your family.,,My husband died. I feel so sad and lonely,t seems you lost your loved one and now you feel lonely and sad.,
4,so confused,It seems like you're feeling lost and uncertain about your current situation.,,feel not good enough,It seems you don't have a good opinion of yourself.,,worried and tensed,t seems like you're feeling a lot of anxiety and stress in this moment,,Inconsiderate and insensitive,"It seems that you feel very negatively about someone's behavior, possibly because you think they were not thoughtful or respectful.",,humiliated and unsecure,"
It looks like you feel very embarrassed and uncomfortable after doing something that made you feel this way",,so excited for our vacation! I can't wait to relax on the beach,It sounds like you're looking forward to your vacation and that you're excited to relax on the beach.,,"She yelled at me, therefore I felt humiliated",It seems you felt terrible after someone yelled at you,
5,feel depression,"
It seems like you're feeling really down right now. It might be helpful to talk to someone about how you're feeling or to seek professional help.",,I don't feel interesting,It seems like you don't feel good about yourself and that's why you don't feel interesting.,,I feel confident and optimistic,It seems you feel strong and positive about yourself,,Discomfort and embarrassment,It seems you are feeling very uncomfortable and embarrassed. This might be because of something that happened or because of how you are feeling in the moment.,,I feel unstable and confused,It's seems like you're uncertain about what you're feeling and what to do next,,I'm so sad that we have to move. I'm going to miss my friends so much,It sounds like you're really going to miss your friends and the place where you've been living.,,I can't seem to do anything right. I'm so frustrated,t sounds like you're feeling overwhelmed and like you can't control what's happening.,
6,I'm feel nervous,ts seems like you're feeling tense and anxious,,not unique,t's seems like you don't feel special or unique for some reason.,,I feel confused and betrayed,It seems like you're feeling overwhelmed and like you can't trust anyone right now.,,I'm not alert and not motivated,t seems like you don't feel energetic and stimulated,,Anxious and unsettled,"ppears that you feeling worried, uncertain or insecure",,I'm so angry that he broke my favorite vase. He's going to pay for that!,I understand that you're feeling upset because someone you care about broke something you valued.,,"We have a new baby, so I'm so excited",t seems like you are really looking forward to the new addition in your family,
7,busy,t seems like you're very occupied with many things going on in your life,,not so bad,"Well, it doesn't seem so bad to me.",,I feel happy and excited,Your current emotional state seems to be predominantly positive.,,I'm impatient and insensitive,t seems you're not very aware of how other people may feel and that makes you seem inconsiderate,,I feel loved and out of control,It seems like you feel a sense of instability and at the same time a sense of being cared for.,,happy that I passed my test. I'm one step closer to my goal,'m glad that you're feeling relieved because you accomplished something you were working for,,"I hurt my brother, so I'm so sorry for that",It seems like you feel bad because you hurt someone you care about,
8,feeling ashamed,It looks like you feel ashamed or embarrassed for something you did or didn't do.,,I'm not frustrated,ppears you have a pretty good emotional control,,I feel agitated and disappointed,t seems like you're feeling overwhelmed and let down,,I'm neither nervous nor angry,It seems like you feel neutral about the current situation,,I'm depressed and joyless,"From what you've said, it seems like you're not in a good place right now. You may be feeling down, hopeless, and like nothing matters. It's okay to feel this way, but it's important to remember that these feelings will not last forever. There are things you can do to make yourself feel better, like seeking out social support or therapy. There is hope, and you can get through this.",,I'm so scared that I'm going to fail. I don't know if I can do this,t seems like you doubt yourself and don't feel confident about your ability to achieve your goal,,I got laid off from my job.I'm devastated,t seems like you're feeling really hopeless and helpless right now because of being jobless.,
9,loved,"
It seems that you have had a good experience in the past with feeling love.",,not motivated,"You don't feel like doing anything today. It's possible that you're just feeling a little bit down, or maybe you don't have any goals that excite you at the moment. Maybe you're just not in the mood to try.",,I'm humiliated and devastated,It seems like you feel very emotional and negative after experiencing a situation that you don't feel was fair.,,I'm not happy and I don't feel meaningful,It looks like you're not content with your current life and you feel like something is missing.,,Brave and fearless,It seems that you feel admiration and respect for someone who you see as being courageous.,,I'm frustrated that I can't figure out this problem cause I've been working on it for hours,t seems like you're feeling overwhelmed because you can't find a solution to this problem,,My husband forgot to buy milk,t seems like you're frustrated because you have to do something else now.,
